Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
A01,T0,21275.13014,761.8375695,164.5853487,1313090.517,0.460635408,0.930689016,0.543168958,1.233545686,1.409090909,29195.55929,0.972375691,2.109090909,0.723750377,34.57160351,4.210329703,0.241876196,0.024483397,0.987921752,0.000603272,10_0,Control
A01,T0,15561.60792,624.7912226,140.7609839,821425.2157,0.50095013,0.952822831,0.767300557,1.394805426,1.5,22220.64524,1.099447514,2.381818182,0.33977381,27.07631718,3.706413941,0.274599157,0.024972117,0.991818919,0.000626622,14_0,Control
A01,T0,13247.24019,576.1224367,129.8726687,645170.4137,0.50154014,0.936558112,0.425966161,1.204189847,1.309090909,15388.34205,1,1.872727273,0.614295183,18.08088846,2.978949464,0.325305954,0.030046798,0.994718338,0.000907228,15_0,Control
A01,T0,11643.06595,525.8666209,121.7555419,531602.9269,0.529085685,0.944337852,0.629811196,1.536998208,1.8,15960.18939,1.165745856,2.763636364,0.407656492,46.10079839,4.113413524,0.325341324,0.050538948,0.983660946,0.002564295,17_0,Control
A01,T0,11366.47522,514.9272183,120.3006473,512772.8726,0.53869628,0.937118241,0.340206909,1.421797875,1.627272727,15213.23726,1.055248619,2.690909091,0.939603322,32.2946256,3.988936737,0.257334293,0.032695958,0.984008638,0.001078443,19_0,Control
A01,T0,7302.099235,413.6432976,96.42261926,264032.8254,0.536297301,0.934277922,0.372247583,1.145662276,1.172727273,6206.052547,1.022099448,1.6,8.011523392,54.78698567,4.838797452,0.24237646,0.028637411,0.988466736,0.000823417,21_0,Control
A01,T0,14392.07626,595.9618156,135.3682408,730586.2667,0.50920944,0.935740121,0.552588133,1.582728295,1.790909091,22667.83464,1.143646409,3.163636364,0.274196599,19.39400638,2.950540088,0.351694544,0.04885931,0.989316647,0.00239792,22_0,Control
A01,T0,3692.642208,318.8275654,68.56834608,94949.38833,0.456494309,0.905469148,0.430370029,1.327943771,1.490909091,1752.885777,1.049723757,2.290909091,10.96436652,40.22667924,4.608631654,0.22856139,0.040990904,0.987486816,0.001683204,27_0,Control
A01,T0,19257.10962,794.728246,156.5851637,1130766.623,0.383145447,0.886239652,0.742485069,1.235246483,1.354545455,23782.20053,0.961325967,2.127272727,2.250172372,63.98736671,5.684732776,0.192967851,0.020661717,0.973284959,0.000429866,30_0,Control
A01,T0,6583.587228,393.3515224,91.55590426,226037.3557,0.534700743,0.956600567,0.19422307,1.532998018,1.781818182,6676.206368,1.165745856,2.818181818,0.532178218,37.88472695,3.914349831,0.324493084,0.051640971,0.986500092,0.002677137,33_0,Control
